title,loc,desc
Foley Square Medallions,"Thomas Paine Park

Manhattan",Five medallions embedded at different locations in the walkways
Forms in Transit,"Flushing Meadows Corona Park

Queens",Large composition on pedestal
Fort  Greene Park Cannons,No location,Two cannons
Fort George Memorial Tablet,"The Battery

Manhattan",Tablet
Fort Greene Eagles,"Fort Greene Park

Manhattan",2 bronze eagles originally from Prison Ship Martyrs Monument
Fort Greene Park Landmarks Tablet,No location,plaque on stone wall
Fort Hamilton Cannon,"John Paul Jones Park

Brooklyn",Rodman gun
Fort Hamilton D.A.R. Tablet,"John Paul Jones Park

Brooklyn",Tablet on natural boulder
Fort Hamilton War Memorial,"Fort Hamilton Triangle

Brooklyn","Obelisk topped by eagle, four plaques"
Fort Independence Park,"Fort Independence Playground

Bronx",Tablets on gateposts
Fort Number Four,"Washington's Walk

Bronx",Tablet recessed in stone wall
Fort Stirling Marker,"Fort Stirling Park

Brooklyn",Tablet on plinth
Fort Tryon Memorial,"Fort Tryon Park

Manhattan",Stele with sculptured decorations
Fort Tryon Park Flagstaff,"Fort Tryon Park

Manhattan",Flagstaff pedestal
Fort Tryon Park Playground,"Fort Tryon Park

Manhattan",Tablet
Fort Tryon Park Tablet,"Fort Tryon Park

Manhattan",Tablet
Fort Washington Memorial,No location,Stele and marble structure
Fountain of Life,"Bronx Park

Bronx","Group (life size) of three figures, two of which are riding horse-like sea creatures and one that rides a porpoise, on a pedestal"
Fountain of the Dolphins,No location,"Fountain consisting of six dolphin figures (life size) fastened to footings by posts and wave-shaped rails containing illuminable fiber-optic cables, water jets"
Four Chimneys,No location,Tablet recessed in boulder
Four Eagles,"Grand Army Plaza

Brooklyn","Four columns, each with four small eagles surmounting globes at middle sections and one large eagle surmounting globe at top"
Francis Lewis Plaque,"Francis Lewis Park

Queens",Plaque on base of flagstaff
Francis Makemie,"Bowling Green

Manhattan",Plaque on plinth
Frank and Constantine Busso,"Joseph Manna Park

Staten Island",Two inscribed markers in ground in front of two cement plinths with blue anchors in relief
Frank Frontera Park Tablet,"Frontera Park

Queens",Marker
Frank J. Goodwin,"Chelsea Park

Manhattan",Memorial gate posts
Frank J. McManus Memorial,"Grand Central Parkway

Queens",Tablet on stele
Frank Kelly,"Van Cortlandt Park

Bronx","Plaque on plinth, tree marker"
Frank L. Dowling,"Chelsea Park

Manhattan",Memorial gate posts
Frank S. Hackett,"Hackett Park

Bronx",Plaque on boulder
Frederick Douglass Memorial,"Central Park

Manhattan","Heroic scale bronze figure, bronze fountain wall, and decorative paving and seating blocks"
Frederick E. Samuel Memorial,"Frederick Johnson Playground

Manhattan","Bronze plaque on pillar with incised, green-painted leaf at bottom in pavement"
Frederick Johnson Memorial,"Frederick Johnson Playground

Manhattan",Stele with incised letters
Free Form,"Flushing Meadows Corona Park

Queens",Form on base
Freedom of the Human Spirit,"Flushing Meadows Corona Park

Queens","Group of two upright figures (heroic scale), one male,one female, supported by three swans in flight, attached to upright spikes, on a circular pedestal"
Freedom Square Memorial,"Freedom Triangle

Brooklyn",Winged female figure (over life size) on integral plinth on pedestal
Freedom Tree Marker,"Madison Square Park

Manhattan",Plaque recessed in plinth
Freedom Tree Marker,No location,"Plaque on plinth, set into ground"
Friedel Memorial Drinking Fountain,"Central Park

Manhattan",Drinking fountain with basin in form of dog
Garden of Meditation,"Flushing Meadows Corona Park

Queens",Seven inscribed plinths
Garibaldi Marker,"Garibaldi Playground

Brooklyn","Honed granite plinth, incised inscription"
Gates of Life,"Flushing Meadows Corona Park

Queens",Ornamental gates
Gay Liberation,"Christopher Park

Manhattan","Group of four figures (two seated, two standing), two World's Fair-style benches, plaque"
General Daniel Butterfield,"Sakura Park

Manhattan",Standing figure (over life size) on rock on pedestal
General Edward Fowler,No location,"Standing figure (over life size) on integral plinth on pedestal  with wreath containing letters  of name, and plaque"
General Franz Sigel,"Riverside Park

Manhattan",Equestrian figure (over life-size) with integral plinth on a pedestal that rests on a base that allows the monument to sit at the top of a staircase
General George Washington Tablet,"Alley Pond Park

Queens",Tablet on boulder
General Gouverneur Kemble Warren,"Grand Army Plaza

Brooklyn","Standing figure (over life-size) on pedestal, two plaques"
General Henry Warner Slocum,"Grand Army Plaza

Brooklyn","Equestrian figure on pedestal embellished with relief eagle on front, four medallions (two on each side)"
General Horace Porter Memorial,"Riverside Park

Manhattan",Flagstaff base with plaque
General José Artigas,No location,"Standing figure (heroic scale), integral plinth, pedestal, plaque in rear"
General Jose de San Martin,"Central Park

Manhattan","Equestrian figure (over life-size)on integral plinth, on pedestal with escutcheon"
General Josiah Porter,"Van Cortlandt Park

Bronx","Standing figure on integral plinth, on pedestal"
General Kazimierz Pulaski,"Silver Lake Park

Staten Island",Tablet on stele
General Philip Henry Sheridan,"Christopher Park

Manhattan",Standing figure (over life-size) with integral plinth on pedestal
General William Jenkins Worth Monument,"Worth Square

Manhattan","Obelisk decorated with applied trophy, die decorated with high relief panel, graduated base; tomb, two plaques, ornamented fence (three sides only), four gas lamp posts"
Genevieve Beavers Earle Flagstaff,No location,Plaque on flagstaff base
George F. Torsney,"Torsney Playground

Queens",Tablet on wall
George M. Cohan,"Father Duffy Square

Manhattan","Standing figure (over life size), integral plinth, on pedestal"
George T. Delacorte Memorial Plaque,No location,Plaque
George Washington,"Union Square Park

Manhattan","Equestrian figure on intergral plinth, pedestal on plinth"
George Washington Accompanied by Fame and Valor,"Washington Square Park

Manhattan","Standing figure (three/quarters round, over life-size) before two figures (over life-size) in high relief, on integral plinth, pedestal"
George Washington Accompanied by Wisdom and Justice,"Washington Square Park

Manhattan","Standing figure (three/quarters round, over life-size) before two figures (over life-size) in high relief, on integral plinth, pedestal"
George Washington as Master Mason,"Flushing Meadows Corona Park

Queens","Standing figure (over life-size) beside a Masonic altar, and wearing a Masonic medal and apron, gavel in right hand, hat in left, with integral plinth on pedestal"
George Washington at Valley Forge,"Continental Army Plaza

Brooklyn","Equestrian figure on pedestal, tablet"
George Washington Bicentennial Tree Marker,"Bennett Park

Manhattan",Tablet
Gerald MacDonald,"MacDonald Park

Queens",Standing figure (over life-size) on pedestal
Gertie A. Gorman Memorial,"Amelia Gorman Park

Manhattan",Stele and exedra
Gertrude Stein,"Bryant Park

Manhattan",Seated figure on pedestal on base
Gill and Bloom Plaques,"Joseph Manna Park

Staten Island",Small bronze plaques on stands
Giovanni da Verrazzano,"The Battery

Manhattan",Elevated male half figure and standing female figure (both heroic scale) on pedestal consisting of two perpendicular slabs
Giuseppe Garibaldi,"Washington Square Park

Manhattan",Standing figure (over life-size) on integral plinth on pedestal
Giuseppe Mazzini,"Central Park

Manhattan",Portrait bust on pedestal
Giuseppe Verdi,"Verdi Square

Manhattan","Statues on ped., surrounding statues"
Glendale War Memorial,"Glendale Veterans Triangle

Queens","Plaque with bas-relief of female figure holding a torch aloft in her right hand over a list of twenty-one names, on a stele"
Glover's Rock,"Pelham Bay Park

Bronx",Tablet on natural boulder
Gorilla,"Central Park

Manhattan",Bas-relief
Governor Alfred E. Smith Memorial,"Alfred E. Smith Playground

Manhattan","Standing figure (over life-size) before a die, right hand resting on a  drapery  that partially covers the die; a brown derby  is on the drapery; plaques on front and two ends of die; die and figure rest on a low base; on back of die is a bas-relief"
Governor Alfred E.Smith Flagstaff,"Alfred E. Smith Playground

Manhattan","Flagstaff in a three-tiered, circular base with animal figures, on an octagonal pedestal"
Gracie Mansion Landmark Tablet,No location,Tablet
Grand Army Plaza Lamps,"Grand Army Plaza

Brooklyn",Lamps
Grand Street Boys War Tablet,"Sherman Square

Manhattan",Tablet on plinth
Gravesend Cemetery DAR Plaque,No location,Bronze plaque on a boulder
Gravesend Veterans Memorial,No location,Stele
Greenpoint War Memorial,"Msgr. McGolrick Park

Brooklyn",Standing female figue with integral plinth on pedestal
Greenpoint World War II Memorial,"Macri Triangle

Brooklyn",Stele with tablet
Gretta Moulton Gate,"High Rock Park

Staten Island","Gate of two leaves with openwork pattern, hung on two piers, with plaque mounted on one of the piers"
Group of Bears,"Central Park

Manhattan","Group of three on integral, graduated plinth on circular pedestal with five steps; plaque"
Growth,"Harlem Art Park

Manhattan",Composition of flowing forms
Gus Stanley Memorial,"Highbridge Park

Manhattan",Tablet on plinth
Hans Christian Andersen,"Central Park

Manhattan","Seated figure (heroic scale) on bench, cygnet figure"
Hansborough Natatorium,No location,
Happy Land Memorial,"Crotona Parkway Malls

Bronx",Obelisk and pedestal
Harlem Heights First Line of Defense Marker,No location,Recessed plaque on natural boulder
Harlem Hybrid,"Roosevelt Triangle

Manhattan",Irregular assemblage of plates of different shapes and thicknesses
Harold W. Cohn Memorial,"Cohn Triangle

Brooklyn","Stele, plaque with bas-relief"
Harriet Tubman Memorial,No location,Over-lifesize portrait sculpture
Haym Salomon Memorial,No location,Stele on base
Heinrich Heine Fountain,"Joyce Kilmer Park

Bronx","Seated figure (over life-size) on pedestal with bas-reliefs; three lounging figures below, in a large basin; tablet nearby"
Heisser Square Park Tree Markers,"Heisser Triangle

Brooklyn",5 tablets
Hennessy Park World War I Flagstaff,No location,Flagstaff base with plaque
Henry Hudson Entrance,"Flushing Meadows Corona Park

Queens",2 columns
Henry Hudson Memorial,"Henry Hudson Park

Bronx","Doric column, panels, statue"
Henry Hudson Memorial Park Plaque,"Henry Hudson Park

Bronx",Tablet on gatepost
Henry Neufeld Playground Plaque,"Riverside Park

Manhattan",Plaque on boulder in planting bed
Henry W. Maxwell Memorial,"Grand Army Plaza

Brooklyn",Plaque with bas-relief roundel on boulder. Replica of original which is now at the Brooklyn Museum
Henry Ward Beecher Monument,"Columbus Park

Brooklyn","Standing figure (heroic scale) with integral plinth on pedestal with two steps, a standing female figure beside pedestal proper right and two child figures beside pedestal proper left"
Hero Park Memorial Plaque,"Hero Park

Staten Island",Plaque
Hero Park World War Memorial Plaque,"Hero Park

Staten Island",Plaque
Highbridge World War I Memorial,"Macombs Dam Park

Bronx","Statue, pedestal with dedicatory plaque"
Highest Natural Point in Manhattan,"Bennett Park

Manhattan",Marker on natural boulder
Hillcrest Veterans Square,No location,"Stele with tablet, applied letters"
Hollis World War Memorial,No location,Tablet on rough-hewn stele
Holocaust Memorial Mall,No location,"Tower consisting of brickwork partially concealing fourteen vertical bars supporting crown with beacon at top, three-tiered base, horizontal marker, approximately one hundred rough-hewn varisized vertical markers, two evergreen trees, evergreen shrubs"
Honey Bear,"Central Park

Manhattan",Fountain figure on ornamented integral plinth
Hooper Fountain,No location,"Ornamental horse fountain with lantern, plaque"
Horace Greeley,"Greeley Square Park

Manhattan","Seated figure on integral plinth (over life-size),on pedestal"
Horace Greeley,"City Hall Park

Manhattan","Seated figure (over life-size) on integral plinth, on pedestal"
Huntington Estate Animal Cemetery,"Pelham Bay Park

Bronx",5 markers with inscriptions
Ibis Totem,"Crotona Park

Bronx",2 vertical bas reliefs on exterior of building
Icon II,"Snug Harbor Cultural Center

Staten Island",Upright X-form on plinth
Ilse Metzger,No location,Wedge-shaped marker
Imagine,"Central Park

Manhattan","Mosaic roundel with starburst design set in pavement, plaque set in rock outcropping about a hundred yards east of roundel"
Independence Flagstaff,"Union Square Park

Manhattan",Flagstaff on drum pedestal with two bas-reliefs and two plaques
Irving and Estelle Levy Playground Gate,"Central Park

Manhattan",Two-leaved gate ornamented with animal figures; mounted plaque
Isham Park Benches,"Isham Park

Manhattan","Four benches, two are engraved"
Isham Park Memorial,"Isham Park

Manhattan",Tablet on wall
Isidor and Ida Straus,"Straus Park

Manhattan",Exedra and fountain pool with figure
J. Otis Swift,"Van Cortlandt Park

Bronx",Plaque on plinth
J. Wesley Drumm Park,"Drumm Triangle

Queens",Tablet on natural boulder
Jackie Robinson,"Jackie Robinson Park

Manhattan","Bust, two plaques"
Jackie Robinson and Pee Wee Reese Monument,"Steeplechase Park

Brooklyn",Over lifesize portrait sculpture of two baseball heroes
Jackson Square Fountain,"Jackson Square

Manhattan","Ornamental fountain with three basins on base and catch basin below, fence"
Jamaica Estates,"Midland Malls

Queens",Gatehouse with stele and tablet inside
James A. Sherry Plaque,"Central Park

Manhattan",Plaque
James Gordon Bennett Memorial,"Herald Square

Manhattan","Niche, pilasters, 3 figural statues, bell"
James Jackson Tombstone,No location,Brownstone headstone
James Madison Tree Marker,"Madison Square Park

Manhattan",Plaque recessed into plinth
James S.T. Stranahan,"Prospect Park

Brooklyn",Figure on pedestal
Jane Addams Memorial,"City Hall Park

Manhattan",Plaque on plinth
Japanese Tori,"Sakura Park

Manhattan",Lantern on pedestal
Jeanne E. Kerbs,"Central Park

Manhattan",Tablet affixed to exterior wall
Jeffrey's Hook Lighthouse Plaque,"Fort Washington Park

Manhattan",granite marker identifying historic lighthouse
Jelly Fish,"Crotona Park

Bronx",Bas-relief roundel
Jerry McAuley Drinking Fountain,"Greeley Square Park

Manhattan",Drinking fountain fitted to the top of a circlar shaft resting on a circular-step base
Jerusalem Grove,"The Battery

Manhattan",Grove of fifteen cedars with inscribed horizontal marker in ivy bed
Jewish-American Tercentenary Flagstaff,No location,"Flagstaff on base, plaque"
Joan of Arc Memorial,"Joan Of Arc Park

Manhattan",Equestrian figure (over life-size) on integral plinth on pedestal
Job,"Forest Park

Queens","Standing figure (life size), integral plinth"
Johann Christoph Friedrich Von Schiller,"Central Park

Manhattan",Portrait bust on pedestal
Johann Wolfgang von Goethe,"Bryant Park

Manhattan",Bust on pedestal
John Cashmore Marker,"Columbus Park

Brooklyn",Ornamented stele with affixed ornaments on base
John Ericsson,"The Battery

Manhattan","Figure (heroic scale) on integral plinth, pedestal with four recessed relief plaques"
John F. Kennedy Memorial,"Grand Army Plaza

Brooklyn",Bust on pedestal
John F. Kennedy Memorial Bust (original),No location,Bronze bust
John F. Kennedy Memorial Tree,"Columbus Park

Brooklyn","Zalcolora tree, marker set in ground"
John Finley Walk,"Carl Schurz Park

Manhattan",Two cutout silhouettes of walking figure and name attached to pole
John Golden Park,"John Golden Park

Queens",Plaque on right gatepost
John Merven Carrere Memorial,"Riverside Park

Manhattan",Architectural terrace
John N. LaCorte Commemorative Sculpture,"John Paul Jones Park

Brooklyn","Low, crescent-shaped granite wall with bas-relief medallion of Verazzano and inscription"
John Paul Jones,"John Paul Jones Park

Brooklyn","Three flags on a stanchion, flagstaff"
John Purroy Mitchel,"Central Park

Manhattan","Stele, bust, ornamental wall"
John T. Brush Stairway,"Highbridge Park

Manhattan",Letters set into first landing
John Vincent Daniels Jr. Post 2813 Marker,No location,Inscribed granite marker
"John Vincent Daniels, Jr. Plaque","John Vincent Daniels Jr. Square

Queens",Relief plaque on plinth
John Wolfe Ambrose,No location,Stele with bust
José Bonifacio de Andrada e Silva,No location,Standing figure (heroic scale) with integral plinth on pedestal on base decorated with applied medallion
Jose Julian Marti,"Central Park

Manhattan",Equestrian statue (over life-size) on integral plinth on pedestal
Joseph A. Guider Memorial,"Dr. Ronald McNair Park

Brooklyn",Urn on pedestal
Joseph H. Lyons,No location,Plaque
Joseph Lisa Memorial Plaque,"William F Moore Park

Queens",Tablet with incised letters; tree marker
Joseph Manna Memorial,"Joseph Manna Park

Staten Island",Plaque attached to boulder
Joseph Pulitzer,"City Hall Park

Manhattan",Tablet on plinth
Joseph Rodman Drake,"Joseph Rodman Drake Park & Enslaved African Burial Ground

Bronx","Monolith on square pedestal, with plaque"
Josephine Shaw Lowell,"Bryant Park

Manhattan",Ornamental fountain with tablet set into ground
Juan Pablo Duarte,"Duarte Square

Manhattan","Standing figure (over life size), on pedestal"
Kimlau War Memorial,"Kimlau Square

Manhattan","Memorial arch, 2 precast benches"
King Mansion Plaque,"Rufus King Park

Queens",Plaque on exterior wall
King Wladyslaw Jagiello,"Central Park

Manhattan",Equestrian figure (over life-size) on pedestal on base on terrace
Kissena Park World War I Monument,"Kissena Park

Queens",Boulder with incised inscription
Knights of Pythias Memorial,"Central Park

Manhattan",Stele
Korean War Memorial,"Kissena Park

Queens","Over lifesized figure of soldier on mound, with separate mountainscape and honor-roll behind"
Kryeti-Aekyad #2,"John Jay Park

Manhattan",Precariously balanced pieces of steel
Lady Deborah Moody Plaque,No location,Bronze seal and plaque on a boulder
Lafayette and Washington,"Lafayette Square

Manhattan",Group on pedestal
Lafayette Memorial,"Prospect Park

Brooklyn",Bas-relief on stele; terrace
Large Coqui,"ABC Playground

Manhattan",Figural sculpture of a mother and baby coqui frog
Laurel Hill Flagstaff,"Triangle Fifty Four

Queens",Flagstaff
Lawrence Entrance,"Flushing Meadows Corona Park

Queens",2 upright triangular stele; one has incised painted inscription
Leiv Eiriksson,"Leif Ericson Park

Brooklyn",Relief tablet on stele
Liam O'Brien Memorial,"Pelham Bay Park

Bronx",Plaque set in base within frame
Liberty Avenue War Memorial,"Public Place

Brooklyn","Shaft, plaque, and eagle"
Liberty Flagstaff,"City Hall Park

Manhattan",Marker and flagstaff
Lieutenant Colonel George U. Harvey Memorial Plaque,"Lost Battalion Hall Recreation Center

Queens",Square plaque with rounded upper edge
Lieutenant Colonel Isaac Barre,"City Hall Park

Manhattan",Tablet on plinth
Lieutenant George W. Lener Memorial,"Clove Lakes Park

Staten Island",Relief plaque mounted on boulder
Life Saver,"Crotona Park

Bronx",Bas-relief roundel
Lilac Walk,"Central Park

Manhattan",Plaque on boulder
Lilian Wald,"Lillian D Wald Playground

Manhattan",Plaque on wall
Lin Ze Xu,"Kimlau Square

Manhattan",Over life-size portrait statue on pedestal
Line of Defense,"Prospect Park

Brooklyn",Semi-circular tablet on boulder
Lioness and Cubs,"Prospect Park

Brooklyn",Group on integral plinth on pedestal
Lions,"Central Park

Manhattan",Bas-relief in three continuous sections
Liotti-Ikefugi Plaque,"Liotti Ikefugi Playground

Staten Island",Plaque mounted on flagpole plinth
Litchfield Villa Landmarks Tablet,"Prospect Park

Brooklyn",Tablet on wall
Literary Walk Restoration Marker,"Central Park

Manhattan",Sidewalk intaglio with inset lettering and compass motif
Lithuanian Flyers Memorial,"Lithuania Square

Brooklyn",Flagstaff base with relief plaque
Little Dances,No location,"Open composition of circular, linear, and globular forms with raised text on a cylindrical base"
Livingston Honor Roll,"Snug Harbor Cultural Center

Staten Island",Tablet on stele
Loeb Memorial Fountain,"Central Park

Manhattan",Figures atop fountain
Lombard Lamp,"Central Park

Manhattan","Street lamp adorned with a pair of infant figures at each of four corners of base, plaque"
Lost Battalion Hall Plaque,"Lost Battalion Hall Recreation Center

Queens",Irregularly-shaped relief plaque
Louie Stern Memorial,"Haven Avenue

Manhattan",Plaque on boulder
Louis J. Heintz Memorial,"Joyce Kilmer Park

Bronx",Standing figure with integral plinth on a pedestal on a three-step base; a female figure stands at the front of the pedestal in the act of writing an inscription on it
Louis Kossuth,No location,Portrait & group on pedestal
"Louis Valentino, Jr. Memorial","Valentino Pier

Brooklyn",Flagstaff on cylindrical base with sloping top
"Louis Valentino, Jr. Memorial","Carroll Park

Brooklyn",Inscribed stele and boulder
Louisa,"Julio Carballo Fields

Bronx","Sculpture of horse made out of a continuous piece of steel, on flat metal base"
Lower East Side War Memorial,"Straus Square

Manhattan","Cylindrical bas relief stele, incised letters"
Lt. Nick Lia Memorial,"Lt. Lia Playground

Staten Island",Inscribed stone and flagstaff
Ludwig Van Beethoven,"Central Park

Manhattan","Bust, allegorical figure on pedestal"
Ludwig Van Beethoven,"Prospect Park

Brooklyn",Bust on pedestal
Luis R. Lopez Memorial,"Lopez Playground

Staten Island",Flagstaff on base with relief plaque and two other plaques
Luminescence,"Hunter's Point South Park

Queens",seven cast concrete domes representing the phases of the moon
Macaque and Orang-outang,"Central Park

Manhattan",bas-relief in two continuous sections
Macombs Dam Park Fountain,"Macombs Dam Park

Bronx",Display fountain
Madison Square Fountain,"Madison Square Park

Manhattan",Display fountain
Major Clarence T. Barrett Memorial,"Barrett Triangle

Staten Island","Standing figure with shield and spear (heroic scale) on integral plinth on broad, bilevel pedestal with bas-relief of two martial scenes separated by classical mask on lower level; large oval basin in front, and small drinking fountain in rear"
Major General Frederick D. Grant,"Riverside Park

Manhattan",Flagstaff pedestal with tablet
Major James A. McKenna Flagstaff,No location,Flagstaff and plaque
Major William F. Deegan,"Deegan Rock

Bronx",Boulder with incised inscription
Marabou,"Central Park

Manhattan",Bas-relief in two continuous sections
Margaret Corbin Plaque,"Fort Tryon Park

Manhattan",Plaque
Marie Sklodowska Curie,"City Hall Park

Manhattan",Tablet on plinth
Marine Amphitheater Groups,"Flushing Meadows Corona Park

Queens","Three panels; two with figures of music and dance, third is of the 'Aquacade'"
Marine Heroes Tablet,"Riverside Park

Manhattan",Tablet
Marquis de Lafayette,"Union Square Park

Manhattan",Portrait statue on pedestal
Martin Birdbath,"Central Park

Manhattan",Bird bath
Mary Harriman Rumsey,"Central Park

Manhattan",Tablet
Mary Lindley Murray,"Park Avenue Malls

Manhattan",Tablet on boulder
Maryland Memorial,"Prospect Park

Brooklyn",Large corinthian column with globe at top
Maspeth Memorial,"Garlinge Triangle

Queens",Triangular shaft on seat
Matthew J. Buono,"Alice Austen Park

Staten Island",Fountain and seven section wall with 5 sections inscribed
Max Wernik Triangle,"Eight Oaks Triangle

Queens",Marker
McCarren Park World War II Flagstaff,"McCarren Park

Brooklyn",Flagstaff and base
McCarren Pool Eagles,"McCarren Park

Brooklyn",4 stylized eagles with upstretched wings
McLaughlin Park World War I Memorial,No location,"Stele, base"
McNally Plaza Memorial,No location,"Tablet on stele, flagstaff"
Medusa,"Crotona Park

Bronx",Bas-relief roundel
Metropolitan Life Insurance Company Memorial,"Madison Square Park

Manhattan",Plaque on plinth
Metropolitan Pool Tablet,No location,Tablet with incised letters
Michael Friedsam Memorial,"Central Park

Manhattan",Tablet affixed to exterior wall
Michael J. Leonard Memorial Plaza,No location,Shaft on base
Middle Village War Memorial,"Middle Village Veterans Triangle

Queens",Stele on plinth
Midland Beach War Memorial,"Franklin D. Roosevelt Boardwalk and Beach

Staten Island",Tripartite upright slab with incribed eagle atop pedestal
Migrating Birds,"Crotona Park

Bronx",Bas-relief roundel
Milan R. Stefanik,"Tompkins Square Park

Manhattan",Bronze plaque on granite base
Mohandas Gandhi,"Union Square Park

Manhattan",Standing figure (over life-size) with integral plinth on pedestal with plaque
Monitor Memorial,"Msgr. McGolrick Park

Brooklyn","Male figure (heroic scale) tugging at a hawser with an integral plinth, on a pedestal"
Monsignor Joseph A. McCaffrey,No location,Plaque embedded in flagstaff base
Montbellier Park Plaque,"Montbellier Park

Queens",Bronze decorative marker honoring park namesake
Morris Park World War Memorial,"Lt. Frank McConnell Park

Queens","Stele, 2 tablets"
Morris-Jumel Mansion,"Roger Morris Park

Manhattan",Tablet
Morty Arkin Memorial Plaque,No location,Plaque
Mother Goose,"Central Park

Manhattan",Group on pedestal
Mowgli and Animal Friends Attack the Monkey City,"Prospect Park

Brooklyn",Bas-relief
Mowgli Is Carried by the Monkeys,"Prospect Park

Brooklyn",Bas-relief
Mowgli Learns the Law of the Jungle,"Prospect Park

Brooklyn",Bas-relief
Mowgli Protected from the Tiger by the Wolves,"Prospect Park

Brooklyn",Bas-relief
Mowgli Removes a Thorn from a Wolf's Paw,"Prospect Park

Brooklyn",Bas-relief
Mowgli Rides the Bull Against the Tiger,"Prospect Park

Brooklyn",Bas-relief
Mowgli Singes the Tiger,"Prospect Park

Brooklyn",Bas-relief
Mowgli Skins the Tiger,"Prospect Park

Brooklyn",Bas-relief
Mozart Memorial,"Prospect Park

Brooklyn",Bust (heroic scale) on pedestal decorated with applied wreath
Mrs. Catherine I. Carroll,"Metropolitan Recreation Center

Brooklyn",Tablet
Mrs. Henry C. Russell ASPCA Horse Trough,"Central Park

Manhattan",
Murray Hill War Memorial,"St. Vartan Park

Manhattan",4 tablets set into exterior of building wall
Nathan Hale,"City Hall Park

Manhattan","Figure (heroic scale) on pedestal, bandeau at base"
Naturalists Gate,"Central Park

Manhattan",Tablet
Naumburg Bandshell,"Central Park

Manhattan","Bandshell, mounted plaque"
Navy Terrace,"Central Park

Manhattan",Tablet floor piece
Navy Walk Tablet,"Central Park

Manhattan","Tablet on plinth, trees"
Neptune Fountain,"Snug Harbor Cultural Center

Staten Island",Male figure (heroic scale) atop basin; original zinc figure is Visitor's Center
