title,loc,desc
Netanyahu Memorial,"Pelham Parkway

Bronx",Tablet set in pavement
Netherland Monument,"The Battery

Manhattan",Sculpted flagstaff pedestal
Neumann-Goldman Flagstaff Memorial,"Valentine Varian House

Bronx","Tablet, flagstaff, hexagonal pedestal on circular plinth"
New Amsterdam Entrance,"Flushing Meadows Corona Park

Queens","2 columns, triangular shape"
New Brighton War Memorial,No location,Flagstaff base with tablet
New Dorp World War I Memorial,No location,"Honor roll, cairn-type stele"
New York Korean War Veterans Memorial,"The Battery

Manhattan","Obelisk with cutout in shape of soldier on base with mosaic flags, two plaques on two markers situated in circular plaza (axis aligned with Statue of Liberty)"
New York Life Insurance Company War Memorial,"Madison Square Park

Manhattan",Plaque on plinth
Night Presence IV,"Park Avenue Malls

Manhattan",Openwork construction: undulating ribbon forms frame enlaged doorknob forms and a cut-out of a bird in profile.
Nobel Monument,"Theodore Roosevelt Park

Manhattan",Retangular four-sided stele with attached bronze medallion; engraved with names of American laureates
Norwegian Veterans Monument,"The Battery

Manhattan","Small boulder with incised anchor motif, atop large inscribed boulder, inscribed marker"
Old Man River,"Crotona Park

Bronx",Bas-relief roundel
Olmsted Tablets,"Central Park

Manhattan",2 plaques on boulder
One Hundred Seventh Infantry Memorial,"Central Park

Manhattan","Group of seven figures (over life-size) with integral plinth, on a pedestal"
Oscar Comras Mall,"Bronx Park

Bronx",Plaque on boulder
Overseas Service League Flagstaff,No location,"Flagstaff base, incised letters"
P.O. George Scheu Plaque,No location,Plaque on octogonal flagstaff
Panthers,"Prospect Park

Brooklyn","Two striding panthers on integral plinths, each on its own pedestal, framing the pedestrian entranceway"
Patrolman Alfred Loreto Tablet,"Loreto Playground

Bronx",Two plaques on west side of fieldhouse
Paul W. Kolbert Playground,"Kolbert Playground

Brooklyn",Plaque on wall
Peace Clock,"Trygve Lie Plaza

Manhattan",Abstract kinetic sculpture in the form of a clock whose arms form the peace sign twice a day (at 4pm and 4am).
Peace Form One,"Ralph Bunche Park

Manhattan",Tall obelisk with variegated surface on a pentagonal base; plaque
Peace Plaza,No location,Five steles set in a triangle around a flagstaff
Pell Graves,"Pelham Bay Park

Bronx","4 granite posts, 7 gravestones"
Penguins,"Central Park

Manhattan",Bas-relief
Pete McArdle Memorial,"Van Cortlandt Park

Bronx","2 vertical poles on separate bases, 3 granite markers"
Peter & Willie,"Prospect Park

Brooklyn","Two figures and chair on a natural boulder, mosaic play surface"
Peter Caesar Alberti Marker,"The Battery

Manhattan",Marker on plinth
Peter Chappetto Flagstaff,"Chappetto Square

Queens",Tablet attached to base of flagstaff
Peter Cooper,"Cooper Triangle

Manhattan","Seated figure (over life-size), on pedestal, under a canopy"
Peter Pan,"Carl Schurz Park

Manhattan",Figure on hexagonal base
Peter Stuyvesant,"Stuyvesant Square

Manhattan",Statue on pedestal
Phillip Mazzei Flagstaff,"Mazzei Playground

Bronx",Flagstaff on base
Pilgrim,"Central Park

Manhattan","Statue, pedestal with sculptural panel"
Pinetum,"Central Park

Manhattan",Plaque recessed in boulder
Pleasant Plains Memorial,No location,"Female figure atop ball on integral plinth fronted by eagle rampant and backed by wreathed helmet, pedestal, base, four plaques"
Police Officer Jose A. Perez Plaque,"Prospect Park

Brooklyn",Plaque set in pavement
Police World's Fair,"Flushing Meadows Corona Park

Queens",Tablet on plinth
Polly Gordon Walk,No location,Cutout silhouette of woman watering flowers and name on pole
Ponies,"Central Park

Manhattan",Bas-relief
Poor Fish,"Crotona Park

Bronx",Bas-relief roundel
Port Authority World War II Honor Roll,"Joseph Manna Park

Staten Island",Plaque on stand
Pratt and White Memorial Plaque,"Marine Park

Brooklyn",Plaque
Prison Ship Martyrs Monument,"Fort Greene Park

Brooklyn","Doric column surmounted by a bronze urn, on a terrace approached by 100 steps; eagles at corners of terrace; plaque and tablet"
Prison Window,"Van Cortlandt Park

Bronx",Ruins of old prison with tablet
Private David W. Gentle Memorial Flagstaff,No location,Flagstaff set in a hexagonal base with a sloped tablet beside it
"Private Joseph F. Merrell, Jr. Memorial","Clove Lakes Park

Staten Island",Tablet mounted on boulder
Private Michael J. Lynch Flagstaff,"Abingdon Square

Manhattan",Tablet on flagstaff
Prospect Park War Memorial,"Prospect Park

Brooklyn","Group of two figures on pedestal before a high, arced wall; two benches; altar; six large plaques; one small plaque; paving"
Prospect Park: 100th Anniversary Plaque,"Prospect Park

Brooklyn",Plaque with two relief portraits
Provost Prison,"City Hall Park

Manhattan",Tablet on plinth
Puerto Rican Sun,"Fox Park

Bronx",Assemblage of upright plates
Pulitzer Fountain,"Grand Army Plaza

Manhattan","Fountain with sculptures: five basins in a stepped pattern support at their highest point a sixth, shell-form basin holding a standing female figure (over life-size); two rams-head horns of plenty  flank the third basin"
Putnam Memorial,No location,Fountain
Pvt. Frederick Staats Memorial,"Staats Circle

Staten Island",Boulder with tablet
Pvt. Walter B. Robertson,"Queens Village Veterans Plaza

Queens",Tree marker on granite plinth
Quadriga: the Triumphal Progress of Columbia,"Grand Army Plaza

Brooklyn",Quadriga and three female figures (heroic scale)
Queens Vietnam Veterans Memorial,"Elmhurst Park

Queens","Two semi-circular granite walls inscribed with honor roll of 371 names of those who died, historical timeline, bamboo motif, memorial name, and military crests, surrounding a sunken seating area and plaza inscribed with a map."
"Queens Village, Bellerose Memorial","Queens Village Veterans Plaza

Queens","Stele, brick walls, coping"
Rabbi  Dr. I. Usher Kirshblum Memorial,"Freedom Square Playground

Queens",Marker embedded in traffic circle
Ralph Ellison Memorial,"Riverside Park

Manhattan",Sculpture; rectangular bronze structure with cut-out male figure; four engraved stone markers
Randolph St. G. Walker Jr.,"Walker Park

Staten Island",Tablet on wall
Raoul Wallenberg Marker,"Forest Park

Queens",Marker on plinth on base
Raoul Wallenberg Monument,No location,"Five columns, each with two sides rough-hewn and two sides smooth; sphere atop column 1; replica of attaché case; cubical paving blocks"
Red Hook Stadium (Pool) Reliefs,"Red Hook Recreation Area

Brooklyn",Three bas reliefs
Reinhard E. Kaltenmeier Tablet,"Kaltenmeier Playground

Staten Island",Tablet on plinth
Reverend Benjamin J. Lowry,"Lowry Triangle

Brooklyn",Bust on pedestal
Reverend Matthew J. Crosson Tablet,No location,Tablet on wall
Revson Fountain,"Lincoln Center Plaza

Manhattan",Ornamental fountain
Rhesus and Ring-Tailed Lemurs,"Central Park

Manhattan",Bas-relief
Richard Morris Hunt Memorial,"Central Park

Manhattan",Bust (over life-size) on stele in an arc-shaped space formed by an exedra  whose back supports columns and a cornice; at each end of the exedra is a standing female figure; mosaic floor; approached by two steps
Richard S. Newcombe,No location,Tablet on stele in cntr.of circular wall
Richard Saunders Scott,"Central Park

Manhattan",Tree marker plaque
Richard Tucker,"Richard Tucker Park

Manhattan",Bust (over life-size) on pedestal
Richmond Hill Flagstaff,"Forest Park

Queens",Flagstaff pedestal and base
Richmond Hill War Memorial,"Forest Park

Queens","Standing figure (over life-size) contemplates a grave marked by a cross, on integral plinth, on pedestal  with plaque"
Ridgewood Memorial,"Myrtle Avenue Clemens Triangle

Queens","Column topped by a globe, on a circular base; column faced with three bas-reliefs; honor roll of names carved in spaces between the bas-reliefs"
River That Flows Two Ways,No location,"Thirty-seven pierced panels, forming a railing for a seawall"
"Riverdale, Spuytenduyvil, Kingsbridge Memorial Bell Tower","Bell Tower Park

Bronx",Belfrey tower and terrace; honor rolls
Riverside Civil War Cannons,"Riverside Park

Manhattan",Three cannons
Riverside Fountain,No location,Fountain
Robert Burns,"Central Park

Manhattan","Seated figure (over life-size) with scroll and plough at feet, on pedestal"
Robert F. Kennedy Memorial,"Columbus Park

Brooklyn","Bust on pedestal, base"
Robert Fulton,"Fulton Park

Brooklyn",Standing figure (heroic scale) on integral plinth on pedestal
Robert Moses Memorial,"Central Park

Manhattan",Plaque on wall
Robert R. Pellicane,No location,Shield-shaped plaque attached to flagpost
Robert Ray Hamilton Fountain,"Riverside Park

Manhattan","Fountain, topped with eagle"
Robert Richard Randall,"Snug Harbor Cultural Center

Staten Island","Statue on pedestal; this is a replica of St. Gauden's original, which was moved to North Carolina with the relocation of the Sailors' Home."
Robert Skirving Pirie,"Central Park

Manhattan",Tree marker
Rockaway Veterans Memorial,No location,Standing figure (over life-size) on pedestal with six plaques
Rockaway Veterans Memorial Tree Markers,No location,"Four tree marker plaques, installed by trees"
Rockaway Women Veterans Monument,No location,Figure on pedestal
Rockefeller Fountain,"Bronx Park

Bronx","Three-tiered, octagonal fountain with extensive sculptural program of sea creatures, etc."
Rocket Thrower,"Flushing Meadows Corona Park

Queens","Figure statue, heroic scale"
Rocky Mountain Goats,"Central Park

Manhattan",Bas-relief
Rocky Mountain Sheep,"Central Park

Manhattan",Bas-relief
Romeo and Juliet,"Central Park

Manhattan",Over life-size group of two figures on pedestal
Ronald McNair,"Dr. Ronald McNair Park

Brooklyn","Bust (life size) recessed in pyramidal monument, two plaques with reliefs"
Roscoe Conkling,"Madison Square Park

Manhattan","Standing figure (over life size) with integral plinth, on pedestal"
Rose and Crown Tavern,No location,Tablet on boulder
Rusty,"Julio Carballo Fields

Bronx","Sculpture of dog made out of a continuous piece of steel, on flat metal base"
S. Rankin Drew Marker,"Central Park

Manhattan",Tablet on base
"Sailor, Soldier, Marine","Lost Battalion Hall Recreation Center

Queens",Two murals
Salvation Army Monument,"The Battery

Manhattan","Stele on plinth, plaque"
Sambur Attacked by Wolves,"Prospect Park

Brooklyn",Bas-relief
Samuel Finley Breese Morse,"Central Park

Manhattan",Portrait statue on pedestal
Samuel J. Tilden,No location,Statue on pedestal
Samuel Sullivan Cox,No location,"Standing figure (over life-size) with integral plinth, on pedestal with two plaques, on base"
Samuel V. Crews,"Marcy Playground

Brooklyn",Flagstaff base
Sand Fleas,"Crotona Park

Bronx",Bas-relief roundel
Sarah Willets Meyer,"Fort Totten Park

Queens",Plaque on wall
Saratoga Park Memorial,No location,"Standing figure with shield on integral plinth before stele; two tablets,"
Schmul Memorial,"Schmul Park

Staten Island",Tablet on boulder
Scorpions,"Crotona Park

Bronx",Bas-relief roundel
Seal of the State of New York (aka Excelsior),"Central Park

Manhattan","Eagle atop shield on integral plinth between two female figures, each on integral plinth"
Seat,"Owen F. Dolen Park

Bronx","Armchair mounted with open dictionary underneath, on engraved boulder"
Senator Robert F. Wagner Memorial,"Wagner Playground

Manhattan",Portrait bust on pedestal
Sergeant Joseph E. Schaefer Memorial,"Forest Park

Queens",Octagonal planter
Sergeant Joyce Kilmer,"Central Park

Manhattan",Plaque on plinth
Seventh Draft Board,"Bronx River Parkway

Bronx","Octagon obelisk, incised letters"
Seventh Regiment Memorial,"Central Park

Manhattan","Statue on pedestal, 4 bronze roundels"
Seventy Second Street Playground,"Central Park

Manhattan",Tablet recessed in concrete wall
Sgt. Edward R. Miller,No location,Tablet on stele
Sheridan Square Viewing Garden Plaque,"Sheridan Square Viewing Garden

Manhattan",Plaque
Shirley Chisholm Plaque,No location,Plaque inset into natural boulder.
Simon Bolivar Monument,"Central Park

Manhattan",Equestrian statue (heroic scale) on pedestal with four coats of arms
Sir Walter Scott,"Central Park

Manhattan",Portrait statue on pedestal
Sixty First District Memorial,"Greenwood Playground

Brooklyn","Figure (life size) in archiform high relief recessed in stele, decorated with applied wreaths on right and left sides (two in all), on base on plinth on terrace with three steps at front and bench at either end"
Skagerrak,"Bellevue South Park

Manhattan","Three solid rectangular forms, joined at different angles in a line, and balanced on three points"
"Skycycles 1, 2, 3","Ocean Breeze Park

Staten Island",Three 'flying bicycle' scultpures
Slocum Disaster Memorial,"Tompkins Square Park

Manhattan",Stele with curved top; on front a bas relief over a shell basin with lion-head spouting fountain
Snow Babies,"Central Park

Manhattan","Two figures, each at the top of a gatepost"
Socrates,"Athens Square

Queens",Seated figure (heroic scale) on base in form of right trianguloid
Soldiers and Sailors Memorial Arch,"Grand Army Plaza

Brooklyn","Triumphal arch; bas-relief figures in spandrels on south face; seal of city of Brooklyn and seal of New York state in spanrels on north face; sixteen medallions, four on each of the pier stages at south and north faces"
Soldiers and Sailors Monument,"Major Mark Park

Queens","Standing angel figure (over life-size) holding a laurel wreath in her left hand and a palm bough in her right,, on integral plinth on pedestal"
Soldiers and Sailors Monument,"Riverside Park

Manhattan",Ornamental circular temple
Soldiers Monument,"Calvary Monument

Queens","Obelisk with applied decorations surmounted by figure (heroic scale), die with decorations on all four faces (?), graduated base; four figures (life size) on corner pedestals; fenced square with four cannons at corners and four eagles on corner piers"
Soul In Flight: Arthur Ashe Memorial,"Flushing Meadows Corona Park

Queens","Standing male figure, left arm pointing upward, with integral plinth bolted to a plate on a footing, surrounded by a planting bed contained within low wall bearing inscriptions"
Spanish War Memorial,"Graham Triangle

Bronx","Column with a globe at the top, on a pedestal; two plaques, one with bas-relief"
Speeder,"Crotona Park

Bronx",Bas-relief roundel
Split Rock Golf Course Murals,"Pelham Bay Park

Bronx","two figurative murals with trompe l'oeil frames, horse on West wall, steer on East wall"
Sport Fish,"Crotona Park

Bronx",Bas-relief roundel
Star of Hope,"Madison Square Park

Manhattan",Star mounted on pole
Stein-Goldie Veterans Square,No location,Field pied mounted on concrete
Stephen Sabatini Memorial,"Pelham Bay Park

Bronx",Plaque set in base within frame
Still Hunt,"Central Park

Manhattan",Crouching panther (over life-size) on boulder
Stuyvesant Park Fountains (2),"Stuyvesant Square

Manhattan",2 fountains with single center jet
Stuyvesant Post War Memorial,No location,Hexagonal stele with cap; three convex sides separated by three shorter straight sides decorated with swords in bas-relief
Subway Tablet (Underground Railway),"City Hall Park

Manhattan",Tablet
Sugar Loaf Rock Plaque,"Hero Park

Staten Island",Plaque
Sullivan's Attack,"Veterans Park

Staten Island",Bronze plaque attached to natural boulder
Sundial,"Central Park

Manhattan",Sundial
"Sundial, Morris-Jumel Mansion","Roger Morris Park

Manhattan",Sundial
Sunnyside Memorial,"Sabba Park

Queens","Tapered obelisk on sq. base, incised ltr"
Sunset Park Memorial,No location,Inscribed granite marker
Susan E. Wagner,"Park Avenue Malls

Manhattan",Tablet on plinth
Swans,"Central Park

Manhattan",Bas-relief
Temperance Fountain,"Tompkins Square Park

Manhattan","Square kiosk with four supporting columns over a drinking fountain, finial female figure on pedestal"
Ten Heroes Plaza,No location,"Flagstaff base with 10 bronze plaques along the sloping sides, on circular pedestal with inlaid inscription"
The Army: Genius of Patriotism Urging American Soldiers On To Victory,"Grand Army Plaza

Brooklyn",Group in high relief on platform
"The Bear, the Panther, the Snake and the Kite Pursuing the Monkey Tribe Through the Jungle","Prospect Park

Brooklyn",Bas-relief
The Falconer,"Central Park

Manhattan","Standing figure (over life-size) holding bird aloft on integral plinth, on pedestal"
The Family,"Bleecker Playground

Manhattan","Group of five figures (two large, three small) with integral support and plinth on pedestal"
The Hiker,"Tompkinsville Park

Staten Island","Standing figure (life size), on pedestal with four plaques"
The Horse Tamers,"Prospect Park

Brooklyn","Two groups, each consisting of two horse figures and one mounted male figure, on two pedestals"
The Immigrants,"The Battery

Manhattan",Group (heroic scale) on base
The Indian Hunter,"Central Park

Manhattan",Figure (over life-size) and dog on pedestal
The Isaiah Wall,"Ralph Bunche Park

Manhattan","Staircase with curved wall, incised letters"
The Navy: American Sailors At Sea Urged On By the Genius of Patriotism,"Grand Army Plaza

Brooklyn",Group in high relief on platform
The New York Times Capsule,"Theodore Roosevelt Park

Manhattan","Time capsule, containing more than 100 objects and artifacts and resting on a monolith; plaque set in a paving block"
The Rowers,"Central Park

Manhattan","Group of two figures on integral plinth on pedestal, with plaque"
The Tempest (Prospero and Miranda),"Central Park

Manhattan","Bronze group, granite pedestal"
The Tetherball Monument,No location,Large-scale steel tetherball with painted line drawing of ball movement on the ground.
The Waterhole in the Jungle,"Prospect Park

Brooklyn",Bas-relief
The Watering Place,No location,Tablet on natural boulder
Theodor Herzl Memorial,"Freedom Square Playground

Queens",Flagstaff and base with tablet
Theodore Roosevelt Memorial,"Asser Levy Park

Brooklyn","Stele, 3 tablets"
Theodore Roosevelt Tree Plaque,No location,Bronze plaque on boulder
Thirteen Stone Pillars,"Van Cortlandt Park

Bronx","Stone, post & lintel construction"
Thomas Moore,"Central Park

Manhattan",Portrait bust on pedestal
Thomas Moore Memorial,"Prospect Park

Brooklyn",Bust on ornamented pedestal
Tigers,"Central Park

Manhattan",Bas-relief in three continuous sections
Tigress and Cubs,"Central Park

Manhattan",Animal group
Time Capsule II Marker,"Flushing Meadows Corona Park

Queens",Large round granite marker
Time Sculpture at Lincoln Center,"Dante Park

Manhattan",Four clocks set in three vertical faces of oblique trianguloid form on oblique trianguloid base
Tisch Children's Zoo Gate,"Central Park

Manhattan","Three pylons surmounted by ornamental crest with children, animal, and bird figures; three plaques"
Tomorrow's Wind,"Thomas Jefferson Park

Manhattan",Plate segments sandwiched together and filled with grid
Topiary: A Twenty-Year Project,"Prospect Park

Brooklyn",Eight topiary figures with armatures of composed of rods and industrial grating along intertwining serpentine paths
Tree of Hope III,"Adam Clayton Powell Jr. Malls

Manhattan",Polychrome sculpture
Triumph of the Human Spirit,"Thomas Paine Park

Manhattan","Fountain: circular basin supports a colossal composition consisting of a horizontal member lying across the basin with one end resting against a boulder; the horizontal form supports a tall, vertical form resembling an inverted dagger; plaque"
Tulip Tree,"Inwood Hill Park

Manhattan",Tablet on natural boulder
Turkeys,"Central Park

Manhattan",bas-relief
Ukrainian American Flagstaff,No location,
Ulysses Simpson Grant,"Grant Gore

Brooklyn",Equestrian figure on integral plinth on pedestal
Ulysses Simpson Grant,"Grand Army Plaza

Brooklyn",Equestrian figure in high relief
Union Square Drinking Fountain,"Union Square Park

Manhattan","Group of three figures---standing mother holds baby on right arm with infant at her left side---(over life-size) on an ornamented, octagonal pedestal with a lion head fountain and a basin on each of  four sides; formerly a working drinking fountain"
Union Square National Historic Landmark Plaque,"Union Square Park

Manhattan",Plaque
Union Square Park Labor & History Plaques,"Union Square Park

Manhattan",A series of 22 plaques set into the sidewalks surrounding park
Unionport Memorial,"Church Triangle

Bronx",Eternal light on round stele
Unisphere and Fountain,"Flushing Meadows Corona Park

Queens","Spherical world globe, topographical relief, fountain"
Unisphere Tablets (4),"Flushing Meadows Corona Park

Queens",Tablets (4) on plinths
Untermyer Fountain,"Central Park

Manhattan",3 dancing girls in circular pool
Upland Park Memorial,"Captain Tilly Park

Queens",Flagstaff
Urns - central park (4),"Central Park

Manhattan",Basins on pedestals
Urns - Prospect Park (16),"Prospect Park

Brooklyn",
Urns -central park bandshell (2),"Central Park

Manhattan",Baroque planters
Van Cortlandt Family Burial Plot,"Van Cortlandt Park

Bronx","3 sided fieldstone wall, monolith"
Van Cortlandt House,"Van Cortlandt Park

Bronx",Tablet affixed to wall
Van Cortlandt Landmark Tablet,"Van Cortlandt Park

Bronx",Tablet on plinth
Van Cortlandt Memorial Grove,"Van Cortlandt Park

Bronx","39 tablets on recessed plinths, tree markers"
Van Nest Memorial,"Van Nest Park

Bronx",Stele
Van Pelt Milestone,"Milestone Park

Brooklyn",Tablet embedded in plinth
Vanderbilt Gates,"Central Park

Manhattan",Ornamental wrought iron gates
Vanities Flagstaff,No location,Mast used as flagstaff
Vatican Shrine,"Flushing Meadows Corona Park

Queens","1/4 round bench, exedra"
Verrazzano Memorial Flagstaff,"John J Carty Park

Brooklyn","Flagpole base, ornamental pedestal with circular relief sculpture"
Veterans Square Memorial,No location,Stele surmounted by eagle
Victor Herbert,"Central Park

Manhattan",Bust on pedestal
Vietnam Memorial,"Vietnam Veterans Plaza

Manhattan","Glass wall, etched text, tablet"
Vietnam Memorial,No location,Stone marker in planting bed
Voice 1,"West Harlem Piers

Manhattan","Sculpture representing casting loop on fishing poles, stands fully upright"
Voice 2,"West Harlem Piers

Manhattan","Sculpture representing casting loop on fishing poles, tilted slightly to the ground"
Voice 4,"West Harlem Piers

Manhattan","Sculpture representing casting loop on fishing pole, tilted almost to the ground"
Von Weber Memorial,"Prospect Park

Brooklyn",Bust on pedestal
Waldo Hutchins,"Central Park

Manhattan",Exedra with sundial
Wall Street Fountain,No location,Ornamental fountain
Walloon Settlers Memorial,"The Battery

Manhattan",Stele on base
Washington A. Roebling Memorial,"Columbus Park

Brooklyn",Bas relief plaque recessed in die
Washington Heights Memorial Honor Grove,"Highbridge Park

Manhattan",Plaque
Washington Heights-Inwood War Memorial,"Mitchel Square

Manhattan",Group of three doughboy figures (over life-size) with integral plinth on a low base that rests on a circular pedestal; twenty plaques facing upward and carrying the names of the dead surround  the group
Washington Irving Memorial,"Prospect Park

Brooklyn",Bust on pedestal
Washington Kill Von Kull Plaque,No location,Tablet on boulder
Washington Square Arch,"Washington Square Park

Manhattan","Triumphal arch, with two eagles, spandrel figures, two pier sculptures"
Washington Square Fountain,"Washington Square Park

Manhattan",Circular fountain
Washington Square Memorial Flagstaff,"Washington Square Park

Manhattan",Flagstaff pedestal
Weeping Beech Tree Landmark Plaque,"Margaret I. Carman Green - Weeping Beech

Queens","Plaque with small circular medallion attached at top, mounted on boulder"
Westchester Square Memorial,"Owen F. Dolen Park

Bronx",Stele
Wien Walk Plaques,"Central Park

Manhattan",Two plaques
Wilbur E. Colyer Square,"Sergeant Colyer Square

Queens",Tablet on boulder
Wild Geese,"Crotona Park

Bronx",Bas-relief roundel
William Church Osborn Gates,"Central Park

Manhattan",Decorative gate with piers topped with animal groups
William Cullen Bryant,"Bryant Park

Manhattan","Seated figure (over life-size) with intrgral plinth on a pedestal under an archiform canopy, with a large urn and a balustrade at either side"
William E. Kelly,"Kelly Park Playground

Brooklyn","Portrait plaque, stele"
William Earl Dodge,"Bryant Park

Manhattan",Standing figure (over life-size) on pedestal
William F. Moore Memorial,"William F Moore Park

Queens","Flagstaff base, incised letters"
William Henry Seward,"Madison Square Park

Manhattan",Portrait statue on pedestal
William Jay Gaynor Memorial,"Cadman Plaza Park

Brooklyn",Bust on pedestal in front of a broad stele with paired bas-reliefs; stele is on a platform reached by two steps
William L. Kavanagh,"Chelsea Park

Manhattan",Incised inscription on gatepost
William Shakespeare,"Central Park

Manhattan",Portrait statue on pedestal
William T. Stead Memorial,No location,"Bas-relief plaque on stele: plaque has enframed bust in profile facing proper left, festoons of foliage above and beside frame; standing figures, knight and angel (reduced size), support inscription"
William Tecumseh Sherman,"Grand Army Plaza

Manhattan","Group (heroic scale) consisting of equestrian figure and female figure on pedestal decorated with six applied wreaths (three on each side), plaque set in pavement"
William White Niles,"Bronx River Parkway

Bronx",Tablet on flagstaff base
Winfield Memorial,No location,Standing female figure (over life-size) on pedestal
Wingdale,"Major Mark Park

Queens","Two upright, roughly L-shaped beams, joined head to foot;aperture at the center"
Wireless Operators Memorial,"The Battery

Manhattan","Inscribed cenotaph with three large plaques (one broad, two narrow), one medium plaque, and seven small plaques; fountain; two benches"
Wollman Portrait,"Central Park

Manhattan",Portrait of Betty Kohn Wollman
Woman's Health Protective Association,"Riverside Park

Manhattan","Stele, exedra, drinking fountain"
Women's Rights Pioneers Monument,No location,Group of one standing and two seated figures (over life size) on integral plinth and pedestal
Woodlawn Heights War Memorial,"Rita Ley Triangle

Bronx","Pedestal topped with ball and eagle, and 4 plaques"
Woodside Doughboy,"Doughboy Park

Queens",Figure (over life-size) on pedestal
Woodside Memorial,No location,"Stele with plaque, documents capsule"
World's Fair Flagstaffs,"Flushing Meadows Corona Park

Queens","2 flagstaffs, eagle finials on base"
Zion Park War Memorial,"Zion Triangle

Brooklyn","Wall, higher central section has bas-relief of winged female warrior; two side sections incised with names; on a raised platform, steps; bannisters have medallions, eagle, proper left, star of David, proper right; plaque"
Zoo,"Central Park

Manhattan",Tablets (2)
